The initialization template is either None or invalid, the servers and jobs will be generated randomly
Episode 12800, Average_updates: 0.241188, iterations: 6387200,reward: -2410.143133
Episode 12900, Average_updates: 0.242830, iterations: 6437100,reward: -2429.114175
Episode 13000, Average_updates: 0.242769, iterations: 6487000,reward: -2425.138889
Episode 13100, Average_updates: 0.241418, iterations: 6536900,reward: -2413.784210
Episode 13200, Average_updates: 0.242515, iterations: 6586800,reward: -2423.397704
Episode 13300, Average_updates: 0.243073, iterations: 6636700,reward: -2429.588809
Episode 13400, Average_updates: 0.243097, iterations: 6686600,reward: -2427.653948
Episode 13500, Average_updates: 0.242998, iterations: 6736500,reward: -2427.888137
Episode 13600, Average_updates: 0.241560, iterations: 6786400,reward: -2411.991838
Episode 13700, Average_updates: 0.242901, iterations: 6836300,reward: -2427.309589
Episode 13800, Average_updates: 0.244188, iterations: 6886200,reward: -2436.327297
Episode 13900, Average_updates: 0.242896, iterations: 6936100,reward: -2424.290074
Episode 14000, Average_updates: 0.244976, iterations: 6986000,reward: -2446.664212
Episode 14100, Average_updates: 0.241404, iterations: 7035900,reward: -2412.717519
Episode 14200, Average_updates: 0.243350, iterations: 7085800,reward: -2431.383076
Episode 14300, Average_updates: 0.240958, iterations: 7135700,reward: -2407.162468
Episode 14400, Average_updates: 0.241515, iterations: 7185600,reward: -2411.166518
Episode 14500, Average_updates: 0.243939, iterations: 7235500,reward: -2437.943486
Episode 14600, Average_updates: 0.242026, iterations: 7285400,reward: -2417.673915
Episode 14700, Average_updates: 0.241957, iterations: 7335300,reward: -2417.394284
Episode 14800, Average_updates: 0.242590, iterations: 7385200,reward: -2424.356665
Episode 14900, Average_updates: 0.242376, iterations: 7435100,reward: -2419.761042
Episode 15000, Average_updates: 0.242382, iterations: 7485000,reward: -2421.525147
Episode 15100, Average_updates: 0.242172, iterations: 7534900,reward: -2416.755390
Episode 15200, Average_updates: 0.240586, iterations: 7584800,reward: -2403.079451
Episode 15300, Average_updates: 0.242791, iterations: 7634700,reward: -2426.248368
Episode 15400, Average_updates: 0.241834, iterations: 7684600,reward: -2417.502205
Episode 15500, Average_updates: 0.243799, iterations: 7734500,reward: -2434.741089
Episode 15600, Average_updates: 0.241705, iterations: 7784400,reward: -2416.101223
Episode 15700, Average_updates: 0.243677, iterations: 7834300,reward: -2433.681050
Episode 15800, Average_updates: 0.242850, iterations: 7884200,reward: -2424.200315
Episode 15900, Average_updates: 0.243553, iterations: 7934100,reward: -2432.550808
Episode 16000, Average_updates: 0.243389, iterations: 7984000,reward: -2430.700302
Episode 16100, Average_updates: 0.242165, iterations: 8033900,reward: -2418.336107
Episode 16200, Average_updates: 0.243161, iterations: 8083800,reward: -2433.396648
Episode 16300, Average_updates: 0.242031, iterations: 8133700,reward: -2416.776179
Episode 16400, Average_updates: 0.241552, iterations: 8183600,reward: -2412.346374
Episode 16500, Average_updates: 0.241813, iterations: 8233500,reward: -2414.978265
Episode 16600, Average_updates: 0.242947, iterations: 8283400,reward: -2430.553404
Episode 16700, Average_updates: 0.242329, iterations: 8333300,reward: -2420.737505
Episode 16800, Average_updates: 0.243403, iterations: 8383200,reward: -2430.881401
Episode 16900, Average_updates: 0.240920, iterations: 8433100,reward: -2408.976847
Episode 17000, Average_updates: 0.244092, iterations: 8483000,reward: -2437.341949
Episode 17100, Average_updates: 0.240987, iterations: 8532900,reward: -2406.814991
Episode 17200, Average_updates: 0.243352, iterations: 8582800,reward: -2430.391064
Episode 17300, Average_updates: 0.241137, iterations: 8632700,reward: -2408.311657
Episode 17400, Average_updates: 0.243353, iterations: 8682600,reward: -2430.699230
Episode 17500, Average_updates: 0.242556, iterations: 8732500,reward: -2423.137413
Episode 17600, Average_updates: 0.243430, iterations: 8782400,reward: -2432.043204
Episode 17700, Average_updates: 0.243118, iterations: 8832300,reward: -2431.004585
Episode 17800, Average_updates: 0.244007, iterations: 8882200,reward: -2437.302749
Episode 17900, Average_updates: 0.242501, iterations: 8932100,reward: -2433.913679
Episode 18000, Average_updates: 0.242213, iterations: 8982000,reward: -2420.739518
Episode 18100, Average_updates: 0.243398, iterations: 9031900,reward: -2430.986087
Episode 18200, Average_updates: 0.242136, iterations: 9081800,reward: -2416.379803
Episode 18300, Average_updates: 0.241129, iterations: 9131700,reward: -2409.216783
Episode 18400, Average_updates: 0.240527, iterations: 9181600,reward: -2400.787240
Episode 18500, Average_updates: 0.242811, iterations: 9231500,reward: -2423.513486
Episode 18600, Average_updates: 0.242248, iterations: 9281400,reward: -2417.374384
Episode 18700, Average_updates: 0.243419, iterations: 9331300,reward: -2434.739409
Episode 18800, Average_updates: 0.244089, iterations: 9381200,reward: -2436.284158
Episode 18900, Average_updates: 0.241850, iterations: 9431100,reward: -2415.990054
